v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-1.0000,-1.0000,-35.0000,-30.0000,2.179703,0.564340
-4.0000,-1.0000,-1.0000,-35.0000,-20.0000,1.047467,0.550958
-4.0000,-1.0000,-1.0000,-35.0000,-10.0000,-0.539284,0.478506
-4.0000,-1.0000,-1.0000,-35.0000,0.0000,-1.757898,0.385293
-4.0000,-1.0000,-1.0000,-35.0000,10.0000,-2.379943,0.323699
-4.0000,-1.0000,-1.0000,-35.0000,20.0000,-2.837232,0.312757
-4.0000,-1.0000,-1.0000,-35.0000,30.0000,-3.435210,0.340565
-4.0000,-1.0000,-1.0000,-30.0000,-30.0000,2.923497,0.607542
-4.0000,-1.0000,-1.0000,-30.0000,-20.0000,1.609269,0.577153
-4.0000,-1.0000,-1.0000,-30.0000,-10.0000,-0.107416,0.475126
-4.0000,-1.0000,-1.0000,-30.0000,0.0000,-1.257045,0.354113
-4.0000,-1.0000,-1.0000,-30.0000,10.0000,-1.708157,0.290836
-4.0000,-1.0000,-1.0000,-30.0000,20.0000,-2.132685,0.295263
-4.0000,-1.0000,-1.0000,-30.0000,30.0000,-2.810930,0.344266
-4.0000,-1.0000,-1.0000,-20.0000,-30.0000,3.702866,0.693278
-4.0000,-1.0000,-1.0000,-20.0000,-20.0000,2.118766,0.612619
-4.0000,-1.0000,-1.0000,-20.0000,-10.0000,0.595201,0.403418
-4.0000,-1.0000,-1.0000,-20.0000,0.0000,0.009971,0.243947
-4.0000,-1.0000,-1.0000,-20.0000,10.0000,-0.129864,0.212085
-4.0000,-1.0000,-1.0000,-20.0000,20.0000,-0.619893,0.258489
-4.0000,-1.0000,-1.0000,-20.0000,30.0000,-1.557399,0.357868
-4.0000,-1.0000,-1.0000,-10.0000,-30.0000,4.013208,0.812367
-4.0000,-1.0000,-1.0000,-10.0000,-20.0000,2.601013,0.685843
-4.0000,-1.0000,-1.0000,-10.0000,-10.0000,1.106824,0.418128
-4.0000,-1.0000,-1.0000,-10.0000,0.0000,0.548804,0.270526
-4.0000,-1.0000,-1.0000,-10.0000,10.0000,0.360151,0.259364
-4.0000,-1.0000,-1.0000,-10.0000,20.0000,0.060303,0.319029
-4.0000,-1.0000,-1.0000,-10.0000,30.0000,-0.618745,0.415938
-4.0000,-1.0000,-1.0000,0.0000,-30.0000,3.848325,0.843174
-4.0000,-1.0000,-1.0000,0.0000,-20.0000,2.679350,0.675303
-4.0000,-1.0000,-1.0000,0.0000,-10.0000,1.282937,0.466126
-4.0000,-1.0000,-1.0000,0.0000,0.0000,0.803481,0.327345
-4.0000,-1.0000,-1.0000,0.0000,10.0000,0.609029,0.353291
-4.0000,-1.0000,-1.0000,0.0000,20.0000,0.267011,0.459250
-4.0000,-1.0000,-1.0000,0.0000,30.0000,-0.421958,0.555025
-4.0000,-1.0000,-1.0000,10.0000,-30.0000,3.739769,0.765311
-4.0000,-1.0000,-1.0000,10.0000,-20.0000,2.825863,0.621594
-4.0000,-1.0000,-1.0000,10.0000,-10.0000,2.228531,0.466919
-4.0000,-1.0000,-1.0000,10.0000,0.0000,1.655578,0.404541
-4.0000,-1.0000,-1.0000,10.0000,10.0000,0.678287,0.511277
-4.0000,-1.0000,-1.0000,10.0000,20.0000,0.188236,0.634696
-4.0000,-1.0000,-1.0000,10.0000,30.0000,-0.604642,0.697969
-4.0000,-1.0000,-1.0000,20.0000,-30.0000,3.969641,0.650362
-4.0000,-1.0000,-1.0000,20.0000,-20.0000,3.177757,0.507248
-4.0000,-1.0000,-1.0000,20.0000,-10.0000,2.801273,0.376246
-4.0000,-1.0000,-1.0000,20.0000,0.0000,2.507067,0.356697
-4.0000,-1.0000,-1.0000,20.0000,10.0000,1.714049,0.513011
-4.0000,-1.0000,-1.0000,20.0000,20.0000,0.124446,0.733430
-4.0000,-1.0000,-1.0000,20.0000,30.0000,-1.096247,0.843538
-4.0000,-1.0000,-1.0000,30.0000,-30.0000,4.542305,0.541297
-4.0000,-1.0000,-1.0000,30.0000,-20.0000,3.901767,0.414047
-4.0000,-1.0000,-1.0000,30.0000,-10.0000,3.512376,0.314912
-4.0000,-1.0000,-1.0000,30.0000,0.0000,3.170910,0.331717
-4.0000,-1.0000,-1.0000,30.0000,10.0000,2.081239,0.507676
-4.0000,-1.0000,-1.0000,30.0000,20.0000,0.227905,0.749722
-4.0000,-1.0000,-1.0000,30.0000,30.0000,-1.683011,0.961264
-4.0000,-1.0000,-1.0000,35.0000,-30.0000,4.913572,0.495120
-4.0000,-1.0000,-1.0000,35.0000,-20.0000,4.365164,0.383215
-4.0000,-1.0000,-1.0000,35.0000,-10.0000,4.007415,0.302612
-4.0000,-1.0000,-1.0000,35.0000,0.0000,3.650865,0.326811
-4.0000,-1.0000,-1.0000,35.0000,10.0000,2.476998,0.483976
-4.0000,-1.0000,-1.0000,35.0000,20.0000,0.460986,0.706229
-4.0000,-1.0000,-1.0000,35.0000,30.0000,-1.646544,0.904402
-4.0000,-1.0000,-0.5000,-35.0000,-30.0000,-0.520802,0.383220
-4.0000,-1.0000,-0.5000,-35.0000,-20.0000,-2.143610,0.301375
-4.0000,-1.0000,-0.5000,-35.0000,-10.0000,-3.252891,0.207479
-4.0000,-1.0000,-0.5000,-35.0000,0.0000,-3.741204,0.150965
-4.0000,-1.0000,-0.5000,-35.0000,10.0000,-3.987683,0.131773
-4.0000,-1.0000,-0.5000,-35.0000,20.0000,-4.198950,0.137031
-4.0000,-1.0000,-0.5000,-35.0000,30.0000,-4.472607,0.163337
-4.0000,-1.0000,-0.5000,-30.0000,-30.0000,-0.023802,0.382153
-4.0000,-1.0000,-0.5000,-30.0000,-20.0000,-1.695399,0.288997
-4.0000,-1.0000,-0.5000,-30.0000,-10.0000,-2.743671,0.184881
-4.0000,-1.0000,-0.5000,-30.0000,0.0000,-3.150394,0.131608
-4.0000,-1.0000,-0.5000,-30.0000,10.0000,-3.362201,0.117397
-4.0000,-1.0000,-0.5000,-30.0000,20.0000,-3.568871,0.127410
-4.0000,-1.0000,-0.5000,-30.0000,30.0000,-3.872905,0.161754
-4.0000,-1.0000,-0.5000,-20.0000,-30.0000,1.029395,0.382507
-4.0000,-1.0000,-0.5000,-20.0000,-20.0000,-0.662145,0.264420
-4.0000,-1.0000,-0.5000,-20.0000,-10.0000,-1.548377,0.138980
-4.0000,-1.0000,-0.5000,-20.0000,0.0000,-1.817303,0.097738
-4.0000,-1.0000,-0.5000,-20.0000,10.0000,-1.981356,0.092436
-4.0000,-1.0000,-0.5000,-20.0000,20.0000,-2.185269,0.111244
-4.0000,-1.0000,-0.5000,-20.0000,30.0000,-2.588971,0.169015
-4.0000,-1.0000,-0.5000,-10.0000,-30.0000,1.858471,0.407757
-4.0000,-1.0000,-0.5000,-10.0000,-20.0000,0.501559,0.239687
-4.0000,-1.0000,-0.5000,-10.0000,-10.0000,-0.184094,0.096077
-4.0000,-1.0000,-0.5000,-10.0000,0.0000,-0.363642,0.068273
-4.0000,-1.0000,-0.5000,-10.0000,10.0000,-0.491226,0.069469
-4.0000,-1.0000,-0.5000,-10.0000,20.0000,-0.709239,0.101580
-4.0000,-1.0000,-0.5000,-10.0000,30.0000,-1.261962,0.193254
-4.0000,-1.0000,-0.5000,0.0000,-30.0000,3.032015,0.568749
